Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2015-04-26,Breakfast,282.7,4.6,0.4,0.0,0.0,0.0,2.5,358.9,82.1,63.2,2.0,15.0,15.0,51.3,0.5,44.7,91.1
2015-04-26,Lunch,844.0,45.5,14.0,0.0,0.0,0.0,90.0,1482.0,0.0,25.0,2.0,63.4,32.0,0.0,10.0,0.0,4.0
2015-04-27,Snacks,350.0,10.0,3.0,0.0,0.0,0.0,0.0,202.5,0.0,28.5,1.5,43.5,2.5,0.0,0.0,2.0,0.0
2015-04-27,Dinner,685.6,22.5,11.3,1.4,1.7,0.0,106.7,1962.7,1415.9,73.5,18.3,20.8,47.1,66.6,56.9,21.6,57.5
2015-04-27,Lunch,418.5,17.5,4.2,6.8,5.4,0.0,23.9,1489.6,141.9,49.7,1.1,1.3,20.7,13.1,5.6,11.6,12.7
2015-04-27,Breakfast,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
2015-04-28,Lunch,610.0,3.0,0.0,0.0,0.0,0.0,0.0,1600.0,1140.0,125.0,27.0,44.0,20.0,0.0,6.0,20.0,34.0
2015-04-28,Dinner,107.2,4.5,2.6,0.4,1.0,0.0,10.2,198.8,1.1,14.3,2.2,3.3,2.3,8.4,4.0,2.1,3.3
2015-04-28,Breakfast,505.3,21.2,6.6,0.7,0.8,0.0,53.3,1101.4,708.0,64.8,10.2,13.4,31.5,33.3,28.4,12.8,28.7
2015-04-28,Snacks,10.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2015-04-29,Breakfast,298.4,6.3,4.0,0.0,1.0,0.0,0.0,294.6,255.0,57.5,4.0,27.6,6.2,10.2,126.0,7.6,15.2
2015-04-29,Dinner,640.0,19.0,9.0,0.0,0.0,0.0,90.0,1520.0,0.0,90.0,10.0,26.0,26.0,32.0,8.0,34.0,28.0
2015-04-29,Lunch,795.0,17.9,2.0,0.3,0.0,0.0,51.0,4364.0,0.0,106.5,4.4,26.0,31.0,0.0,0.0,0.0,0.2
2015-04-30,Breakfast,298.4,6.3,4.0,0.0,1.0,0.0,0.0,294.6,255.0,57.5,4.0,27.6,6.2,10.2,126.0,7.6,15.2
