Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2015-06-07,Snacks,298.2,0.0,0.0,0.0,0.0,0.0,0.0,150.1,0.0,81.1,0.0,80.1,0.0,0.0,0.0,0.0,0.0
2015-06-07,Dinner,1599.0,46.7,11.4,9.5,0.0,0.0,359.0,5336.0,540.0,165.0,15.4,31.4,129.2,5.0,12.3,9.0,22.6
2015-06-07,Lunch,109.2,0.8,0.2,0.3,0.3,0.0,0.0,1.0,77.0,22.9,1.8,0.0,2.3,0.0,0.0,1.0,2.9
2015-06-08,Snacks,602.6,8.3,1.6,2.8,3.0,0.0,20.0,152.7,171.5,103.3,3.6,82.8,5.7,16.4,32.2,3.1,11.6
2015-06-08,Dinner,827.0,31.1,6.2,4.5,0.0,0.0,150.0,2704.0,253.5,79.0,7.4,12.6,55.6,2.5,10.2,4.5,15.1
2015-06-08,Breakfast,275.0,16.0,1.5,0.0,1.8,0.0,10.0,205.0,255.0,67.0,2.0,24.0,30.0,20.0,2.0,15.0,60.0
2015-06-09,Lunch,350.0,9.0,1.5,0.0,0.0,0.0,0.0,290.0,95.0,29.0,1.0,4.0,8.0,10.0,0.0,4.0,20.0
2015-06-09,Breakfast,215.0,8.0,1.5,0.0,1.8,0.0,10.0,205.0,255.0,43.0,2.0,16.0,14.0,20.0,2.0,15.0,60.0
2015-06-09,Snacks,325.0,15.8,7.3,0.9,0.4,0.0,23.8,135.0,0.0,40.5,1.0,29.6,4.5,4.0,1.2,7.5,0.0
2015-06-10,Breakfast,215.0,8.0,1.5,0.0,1.8,0.0,10.0,205.0,255.0,43.0,2.0,16.0,14.0,20.0,2.0,15.0,60.0
2015-06-10,Lunch,260.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
2015-06-10,Snacks,420.0,13.8,7.3,0.9,0.4,0.0,30.0,152.5,0.0,74.5,0.2,64.1,3.2,6.0,1.2,9.0,0.0
2015-06-10,Dinner,128.8,0.1,0.0,0.0,0.0,0.0,0.0,74.5,554.1,30.2,5.9,7.1,3.0,7.7,10.1,4.0,2.0
2015-06-11,Dinner,1265.0,55.3,16.3,0.0,0.0,1.2,90.0,1411.5,0.0,112.4,7.6,88.5,32.6,6.0,2.0,26.8,30.4
2015-06-11,Snacks,250.0,7.0,1.0,0.0,0.0,0.0,0.0,430.0,0.0,41.0,1.0,9.0,3.0,0.0,2.0,0.0,2.0
2015-06-11,Breakfast,113.1,5.1,0.2,0.6,0.2,0.0,0.3,167.8,37.1,27.4,0.7,5.3,10.6,0.0,0.0,0.0,0.1
2015-06-12,Dinner,70.0,3.7,2.3,0.0,0.0,0.0,1.7,10.0,0.0,9.0,0.0,7.0,1.0,0.0,0.0,2.0,0.7
2015-06-12,Lunch,235.4,1.6,0.3,0.6,0.6,0.0,0.0,5.0,270.0,49.8,5.5,1.7,5.5,4.0,10.0,6.0,7.7
2015-06-12,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-06-13,Dinner,70.0,3.7,2.3,0.0,0.0,0.0,1.7,10.0,0.0,9.0,0.0,7.0,1.0,0.0,0.0,2.0,0.7
2015-06-13,Breakfast,82.0,6.2,1.0,0.0,0.0,0.0,2.0,24.0,0.0,14.0,1.2,4.0,10.6,3.2,2.4,6.4,2.4
2015-06-13,Lunch,1305.0,40.5,16.0,0.0,0.0,0.0,195.0,2477.5,0.0,124.0,19.5,67.0,60.5,36.0,34.0,60.0,45.0
2015-06-14,Breakfast,140.0,9.5,0.0,0.5,0.0,0.0,0.0,90.0,0.0,39.0,1.0,14.0,18.0,0.0,0.0,0.0,4.0
2015-06-14,Lunch,1708.4,86.3,18.3,10.5,39.1,0.5,93.3,2371.8,1960.8,574.8,6.9,75.5,34.7,8.0,112.6,13.3,39.6
2015-06-15,Lunch,728.4,30.0,11.0,6.4,5.6,0.2,148.0,769.5,428.1,101.1,3.6,92.3,20.0,207.3,13.1,29.7,9.5
2015-06-15,Dinner,320.0,16.0,3.0,0.0,0.0,0.0,0.0,880.0,460.0,40.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2015-06-15,Snacks,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,10.0,0.0,0.0
2015-06-15,Breakfast,310.0,6.1,1.0,0.0,0.0,0.0,0.0,399.0,0.0,45.6,0.7,8.9,14.3,0.0,0.0,0.0,7.0
2015-06-16,Snacks,210.0,10.5,6.8,0.0,3.0,0.0,45.0,82.5,180.0,25.5,0.0,19.5,4.5,9.0,0.0,15.0,0.0
2015-06-16,Dinner,514.3,18.8,11.1,0.4,3.0,0.0,49.3,1166.6,3.4,70.3,4.5,1.3,13.9,69.6,2.5,12.8,25.0
2015-06-16,Breakfast,70.0,4.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,21.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0
2015-06-16,Lunch,662.0,31.4,15.0,1.1,2.0,0.0,60.0,1129.8,475.8,56.6,5.7,17.6,38.4,439.2,35.4,29.2,8.2
2015-06-17,Lunch,320.0,16.0,3.0,0.0,0.0,0.0,0.0,880.0,460.0,40.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2015-06-17,Breakfast,110.0,5.5,0.0,0.5,0.0,0.0,0.0,95.0,0.0,27.0,0.0,9.0,11.0,0.0,0.0,2.0,4.0
2015-06-17,Snacks,140.0,6.0,3.5,0.0,2.0,0.0,0.0,90.0,50.0,20.0,0.0,12.0,1.0,0.0,0.0,0.0,6.0
2015-06-18,Lunch,287.0,16.3,3.1,4.2,9.1,0.0,0.0,167.0,543.0,26.8,3.8,6.9,10.3,25.0,32.0,1.0,6.0
2015-06-18,Snacks,260.0,6.0,3.5,0.0,2.0,0.0,0.0,90.0,50.0,52.0,0.0,44.0,1.0,0.0,20.0,0.0,6.0
2015-06-18,Dinner,1420.0,80.0,28.0,0.0,0.0,0.0,330.0,4760.0,0.0,102.0,4.0,20.0,82.0,0.0,0.0,0.0,8.0
2015-06-18,Breakfast,208.4,13.4,0.2,0.9,0.2,0.0,9.6,261.2,36.9,51.9,0.5,13.2,21.1,0.0,0.0,2.6,5.5
2015-06-19,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-06-20,Breakfast,234.7,15.1,3.5,0.0,0.1,0.0,20.0,24.5,232.3,37.0,0.0,29.0,9.6,4.0,0.0,2.9,0.3
2015-06-20,Lunch,1140.0,39.0,12.0,0.0,0.0,1.2,90.0,1687.5,0.0,112.0,8.0,72.5,34.0,12.0,4.0,42.0,36.0
2015-06-20,Dinner,309.5,11.9,3.9,0.7,5.0,0.0,20.0,147.2,218.4,46.9,2.1,42.9,7.2,18.9,8.9,17.0,11.1
2015-06-21,Dinner,1508.1,56.4,3.8,9.0,19.2,0.1,163.7,667.3,505.0,170.1,5.1,4.2,74.8,114.5,11.0,14.8,30.1
2015-06-21,Breakfast,587.0,8.0,0.8,0.2,0.0,0.8,0.0,1431.0,191.5,137.0,5.0,68.0,17.5,0.0,74.0,31.0,22.5
2015-06-21,Snacks,360.0,19.0,10.5,0.0,2.0,0.0,50.0,275.0,120.0,37.0,0.0,30.0,5.0,6.0,0.0,12.0,6.0
2015-06-21,Lunch,1080.0,38.0,15.5,0.0,0.0,0.0,85.0,1856.0,0.0,160.8,13.0,89.8,33.0,0.0,0.0,0.0,0.0
2015-06-22,Breakfast,258.0,17.0,0.7,1.3,0.8,0.0,32.0,554.0,123.0,55.0,1.5,4.6,15.0,0.0,0.0,2.0,5.0
2015-06-22,Lunch,441.4,16.8,1.3,3.0,6.4,0.0,54.6,222.4,168.3,50.9,1.7,1.4,20.1,38.2,3.7,4.9,10.0
2015-06-22,Snacks,219.6,7.3,4.0,1.0,2.0,0.0,0.0,117.2,363.9,21.3,3.0,11.1,19.5,18.3,22.8,1.3,2.7
2015-06-22,Dinner,260.0,9.5,5.5,0.5,1.5,0.0,20.0,615.0,0.0,35.0,1.0,2.0,6.0,4.0,0.0,12.0,10.0
2015-06-23,Lunch,454.5,14.9,6.1,3.5,2.0,0.0,0.0,1092.0,83.9,56.2,4.8,3.2,20.7,0.0,0.0,15.7,8.6
2015-06-23,Dinner,1175.0,49.0,19.0,0.0,0.0,0.0,90.0,2685.0,0.0,145.0,7.0,28.0,39.0,14.0,18.0,46.0,52.5
2015-06-23,Breakfast,950.0,62.0,8.0,0.0,0.0,0.0,0.0,1040.0,0.0,100.0,4.0,26.0,20.0,0.0,0.0,0.0,0.0
2015-06-24,Lunch,200.0,4.5,2.0,0.5,1.5,0.0,0.0,600.0,0.0,34.0,1.0,1.0,5.0,0.0,0.0,10.0,10.0
2015-06-24,Snacks,59.6,0.3,0.0,0.0,0.0,0.0,0.0,37.2,543.9,11.3,4.0,6.1,3.5,33.3,57.8,3.3,6.7
2015-06-24,Dinner,400.0,9.0,4.0,1.0,3.0,0.0,0.0,1200.0,0.0,68.0,2.0,2.0,10.0,0.0,0.0,20.0,20.0
2015-06-24,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-06-25,Breakfast,360.0,11.0,3.0,1.0,1.5,0.0,20.0,370.0,510.0,68.0,2.0,34.0,18.0,30.0,24.0,50.0,50.0
2015-06-25,Lunch,1080.0,38.0,15.5,0.0,0.0,0.0,85.0,1856.0,0.0,160.8,13.0,89.8,33.0,0.0,0.0,0.0,0.0
2015-06-25,Snacks,170.0,14.0,2.0,3.5,8.0,0.0,0.0,80.0,200.0,7.0,2.0,1.0,5.0,0.0,0.0,4.0,8.0
2015-06-26,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-06-26,Lunch,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-26,Snacks,548.3,24.4,13.4,0.0,0.0,0.8,123.5,328.4,907.9,70.5,6.1,57.7,13.2,68.6,80.6,29.1,10.9
2015-08-08,Lunch,613.7,29.8,7.6,6.2,1.7,0.0,84.8,831.2,0.0,74.0,2.0,9.7,37.1,6.0,17.3,5.1,35.1
2015-08-08,Snacks,174.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,45.6,0.0,45.6,0.0,0.0,0.0,0.0,0.0
2015-08-08,Dinner,62.5,2.5,0.6,0.9,0.9,0.0,0.0,50.0,21.3,9.3,0.5,4.0,1.0,0.0,0.0,0.5,2.0
2015-08-08,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-09,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-09,Snacks,294.1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,77.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
2015-08-09,Lunch,780.8,32.0,11.9,0.0,0.0,0.0,117.0,2465.2,0.0,75.9,3.3,23.0,45.2,0.0,0.0,0.0,0.0
2015-08-10,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-10,Snacks,453.7,17.8,4.4,6.2,6.2,0.0,0.0,378.0,157.4,68.1,3.7,28.8,7.2,0.0,0.5,3.6,14.1
2015-08-11,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-11,Lunch,867.1,22.9,8.1,0.0,0.0,1.0,60.0,1190.7,0.0,138.3,2.0,85.9,24.0,10.0,15.0,8.0,25.0
2015-08-12,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-12,Lunch,740.0,18.0,11.0,0.0,0.0,0.0,70.0,250.0,0.0,128.0,0.0,96.0,17.0,30.0,0.0,60.0,2.0
2015-08-12,Dinner,920.0,39.0,15.5,0.0,0.0,2.5,80.0,2360.0,0.0,101.0,17.0,6.0,41.0,22.0,14.0,46.0,41.0
2015-08-15,Lunch,1724.0,68.3,21.6,0.2,0.0,0.0,193.0,1773.0,64.0,230.2,9.2,60.1,53.9,78.0,59.0,24.5,38.0
2015-08-15,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-15,Dinner,1027.2,31.6,6.4,5.4,8.5,0.0,310.3,4771.3,584.0,107.5,5.1,61.7,87.8,30.0,40.0,5.8,39.1
2015-08-19,Lunch,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2015-08-19,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-20,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-20,Lunch,1968.0,55.0,6.7,5.6,3.2,0.0,332.0,2950.0,1966.0,123.0,31.0,3.0,196.7,22.0,15.0,12.0,28.0
2015-08-21,Dinner,505.0,22.5,2.9,0.0,0.0,0.0,24.0,1242.0,334.0,35.0,13.5,3.0,30.5,0.0,15.0,4.0,12.0
2015-08-21,Breakfast,393.3,21.0,3.7,1.3,3.5,0.0,20.0,370.0,473.3,81.3,2.7,36.0,33.3,23.3,17.3,43.3,33.3
2015-08-22,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
2015-08-22,Snacks,269.6,6.9,2.1,1.0,3.7,0.0,0.0,212.3,26.3,51.7,0.9,25.0,2.0,0.0,0.0,0.4,3.8
2015-08-22,Lunch,1149.2,54.7,17.4,4.4,7.4,0.0,499.5,2154.4,748.3,108.7,16.9,42.9,53.4,18.9,32.6,14.3,33.8
2015-08-23,Breakfast,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
